"","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"HRA",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2015-01-05,0.1
"HUL",1,1,1,1,1,1,1,,,,2001,2007,7,0,7,0,2007-03-16,0
"IBX",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-03-26,0.2
"IGB",,,1,0,1,0,0,0,0,1,2003,2010,8,4,4,0,2016-02-27,0
"IND",,,,,,,1,1,1,1,2007,2010,4,0,4,0,2021-07-20,0
"JAB",1,1,1,1,1,0,1,,,,2001,2007,7,0,7,0,2007-02-01,0
"JAG",1,1,1,1,1,1,,,,,2001,2006,6,0,6,1,2006-04-21,0.166666666666667
"JAS",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2019-06-21,0.1
"JBG",,0,,,,0,0,1,1,1,2002,2010,6,0,6,0,2016-03-18,0
"JCR",1,1,1,1,1,1,1,0,1,1,2001,2010,10,0,10,3,2014-05-17,0.3
"JEL",0,1,1,1,1,1,,,,,2001,2006,6,0,6,1,2008-01-16,0.166666666666667
"JFR",1,1,1,1,1,1,1,1,,,2001,2008,8,0,8,2,2008-03-18,0.25
"JNG",0,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2010-04-28,0.1
"JNI",1,1,1,1,1,1,1,0,1,1,2001,2010,10,0,10,1,2017-12-19,0.1
"JOK",1,1,1,1,1,1,,,,,2001,2006,6,0,6,1,2006-01-09,0.166666666666667
"JOY",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2011-06-07,0.1
"JUM",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2022-07-07,0.2
"KEA",0,1,1,1,,,,,,,2001,2004,4,0,4,0,2004-06-23,0
"KIT",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,0,2022-08-06,0
"KRK",1,1,1,1,0,0,1,0,0,0,2001,2010,10,3,7,1,2016-03-05,0.142857142857143
"KST",0,1,1,1,1,0,1,0,0,0,2001,2010,10,3,7,0,2012-03-14,0
"KWA",0,0,1,1,1,1,1,,,,2001,2007,7,0,7,0,2007-03-12,0
"KWI",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2013-12-08,0.1
"LAS",0,1,1,1,1,1,0,0,0,1,2001,2010,10,3,7,1,2016-11-22,0.142857142857143
"LEO",,0,0,1,1,0,1,,,,2002,2007,6,0,6,0,2007-04-21,0
"LEV",1,1,1,1,1,0,0,0,1,1,2001,2010,10,3,7,1,2020-05-17,0.142857142857143
"LIC",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2022-05-27,0.2
"LIF",1,1,1,1,1,1,1,0,1,0,2001,2010,10,0,10,1,2020-01-16,0.1
"LIT",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,0,2021-03-17,0
"LLA",,,,,,1,1,0,0,1,2006,2010,5,0,5,0,2019-12-25,0
"LLO",,1,0,1,1,1,1,0,0,1,2002,2010,9,0,9,0,2016-03-05,0
"LNS",0,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2015-01-12,0.2
"MDC",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,1,2010-02-03,0.1
"MEO",,,,,,0,1,1,1,1,2006,2010,5,0,5,0,2016-02-27,0
"MGG",1,1,1,1,1,,,,,,2001,2005,5,0,5,1,2006-11-14,0.2
"MIN",1,1,1,1,1,1,1,1,1,,2001,2009,9,0,9,0,2009-03-17,0
"MIS",0,0,1,1,1,,,0,0,1,2001,2010,8,0,8,0,2016-11-22,0
"MNM",1,1,1,1,1,1,1,,,,2001,2007,7,0,7,1,2007-03-31,0.142857142857143
"MNV",0,1,1,1,1,0,1,1,0,0,2001,2010,10,0,10,1,2016-12-19,0.1
"MOO",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2015-01-24,0.1
"MOU",,,1,1,1,1,1,1,1,1,2003,2010,8,0,8,1,2020-05-28,0.125
"MOZ",1,0,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2016-02-16,0.1
"MRA",1,1,1,1,1,0,0,0,0,0,2001,2010,10,5,5,1,2011-05-18,0.2
"MSA",,,1,0,0,0,1,0,0,1,2003,2010,8,3,5,0,2010-02-10,0
"MUN",1,1,1,1,1,1,1,,,,2001,2007,7,0,7,0,2007-01-12,0
"MUR",,1,1,1,1,1,1,0,0,0,2002,2010,9,3,6,1,2017-12-14,0.166666666666667
"NEV",1,1,1,1,1,1,1,,,,2001,2007,7,0,7,1,2008-06-12,0.142857142857143
"NIB",1,1,1,1,0,1,1,,,,2001,2007,7,0,7,0,2007-01-24,0
"NIC",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2015-12-31,0.2
"NIT",1,1,1,1,1,1,,,,,2001,2006,6,0,6,1,2006-04-23,0.166666666666667
"NOO",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2014-09-11,0.2
"NUM",,,1,1,1,1,1,1,1,1,2003,2010,8,0,8,1,2020-01-16,0.125
"OLI",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-04-08,0.2
"PDT",0,0,0,0,1,1,1,1,1,0,2001,2010,10,4,6,1,2019-12-27,0.166666666666667
