"","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"HNK",0,0,0,0,1,1,1,0,1,0,1,2009,2019,11,4,7,0,2019-07-17,0
"HNZ",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2012-10-27,0.25
"HOW",,,,1,1,1,1,1,1,1,,2012,2018,7,0,7,0,2018-10-06,0
"HPP",,,0,1,1,1,1,1,1,0,1,2011,2019,9,0,9,1,2019-11-08,0.111111111111111
"HRA",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,1,2014-07-06,0.166666666666667
"HRS",,,0,1,1,1,1,1,1,0,1,2011,2019,9,0,9,1,2019-06-30,0.111111111111111
"IBL",,1,1,1,1,1,1,1,1,0,1,2010,2019,10,0,10,0,2019-07-03,0
"IBX",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-09-25,0.181818181818182
"IGB",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2015-08-28,0.25
"IND",1,1,1,1,1,1,1,1,1,0,1,2009,2019,11,0,11,2,2019-07-02,0.181818181818182
"JAS",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,1,2018-12-20,0.1
"JBG",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2015-09-17,0.25
"JCR",1,1,1,1,1,,,,,,,2009,2013,5,0,5,1,2013-11-15,0.2
"JMY",1,1,1,1,1,1,1,1,0,1,1,2009,2019,11,0,11,1,2019-07-18,0.0909090909090909
"JNI",1,1,1,1,1,0,1,1,1,,,2009,2017,9,0,9,1,2017-06-19,0.111111111111111
"JUI",,,,1,1,1,1,1,1,,,2012,2017,6,0,6,0,2020-02-26,0
"JUM",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-12-03,0.181818181818182
"KAT",1,1,1,1,1,1,0,0,0,1,1,2009,2019,11,3,8,1,2019-06-12,0.125
"KIT",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,3,2019-11-23,0.272727272727273
"KIY",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,1,2019-12-07,0.1
"KKD",0,1,1,1,1,0,,,,,,2009,2014,6,0,6,1,2017-05-31,0.166666666666667
